Restaurant Name,,City,Address,Locality,,,,Cuisines,,,Has Table booking,Has Online delivery,,,,Aggregate rating,,Rating text
Boise Fry Company,,Boise,"204 N Capitol Blvd, Boise, ID 83702",Boise,,,,"American, Burger",,,No,No,,,,4.4,,Very Good
Flying Pie Pizzaria,,Boise,"6508 W Fairview Ave, Boise, ID 83704",Boise,,,,Pizza,,,No,No,,,,4.1,,Very Good
Fork,,Boise,"199 N 8th St, Boise, ID 83702",Boise,,,,"American, Burger",,,No,No,,,,4.4,,Very Good
Guido's Original New York Style Pizza,,Boise,"235 N 5th St, Boise, ID 83702",Boise,,,,Pizza,,,No,No,,,,4.3,,Very Good
Los Beto's,,Boise,"5220 W Fairview Ave, Boise, ID 83706",Boise,,,,Mexican,,,No,No,,,,4.4,,Very Good
Lucianos Italian Restaurant,,Boise,"11 N Orchard St, Boise, ID 83706",Boise,,,,"Italian, Seafood, Vegetarian",,,No,No,,,,4.4,,Very Good
Mai Thai Restaurant,,Boise,"750 W Idaho St, Boise, ID 83702",Boise,,,,"Sushi, Thai",,,No,No,,,,4,,Very Good
Shige Japanese Cuisine,,Boise,"100 N 8th St, Boise, ID 83702",Boise,,,,"Japanese, Sushi, Teriyaki",,,No,No,,,,4.1,,Very Good
The Egg Factory,,Boise,"8061 W Fairview Ave, Boise, ID 83704",Boise,,,,Breakfast,,,No,No,,,,4.3,,Very Good
Tucanos,,Boise,"1388 S Entertainment Ave, Boise, ID 83709",Boise,,,,Brazilian,,,No,No,,,,4,,Very Good
Texas Roadhouse,,Boise,"3801 E Fairview Avenue, Meridian, Boise, ID 83642",Meridian,,,,"American, BBQ, Steak",,,No,No,,,,4,,Very Good
Brick 29,,Boise,"320 11th Avenue S, Nampa, ID 83651",Nampa,,,,American,,,No,No,,,,4.4,,Very Good
Winifreds,,Cedar Rapids/Iowa City,"3847 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,,,,"American, Mediterranean, Seafood",,,No,No,,,,3.7,,Good
Biaggi's Ristorante Italiano,,Cedar Rapids/Iowa City,"320 Collins Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,,,,"Italian, Pizza",,,No,No,,,,4.1,,Very Good
El Super Burrito,,Cedar Rapids/Iowa City,"3300 Johnson Ave NW, Cedar Rapids, IA 52405",Cedar Rapids,,,,Mexican,,,No,No,,,,4.1,,Very Good
Granite City Food & Brewery,,Cedar Rapids/Iowa City,"4755 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,,,,"American, Breakfast, Burger",,,No,No,,,,4.1,,Very Good
Irish Democrat,,Cedar Rapids/Iowa City,"3207 1st Ave SE, Cedar Rapids, IA 52402",Cedar Rapids,,,,"American, BBQ, Burger",,,No,No,,,,4.4,,Very Good
Taste of India,,Cedar Rapids/Iowa City,"1060 Old Marion Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,,,,Indian,,,No,No,,,,4.2,,Very Good
Thai Moon Restaurant,,Cedar Rapids/Iowa City,"4362 16th Ave SW, Cedar Rapids, IA 52404",Cedar Rapids,,,,"Chinese, Sushi, Thai",,,No,No,,,,4.2,,Very Good
Ting's Red Lantern,,Cedar Rapids/Iowa City,"540 Boyson Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,,,,Chinese,,,No,No,,,,4.2,,Very Good
Monica's,,Cedar Rapids/Iowa City,"303 2nd Street, Coralville, IA 52241",Coralville,,,,"American, Italian, Pizza",,,No,No,,,,3.8,,Good
Exotic India,,Cedar Rapids/Iowa City,"102 2nd Ave, Coralville, IA 52241",Coralville,,,,Indian,,,No,No,,,,4.1,,Very Good
Shorts Burger and Shine,,Cedar Rapids/Iowa City,"18 S Clinton St, Iowa City, IA 52240",Iowa City,,,,Burger,,,No,No,,,,4.9,,Excellent
The Hamburg Inn No. 2 Inc.,,Cedar Rapids/Iowa City,"214 N Linn St, Iowa City, IA 52245",Iowa City,,,,"American, Breakfast, Burger",,,No,No,,,,4.5,,Excellent
Bluebird Diner,,Cedar Rapids/Iowa City,"330 E Market St, Iowa City, IA 52245",Iowa City,,,,"Breakfast, Diner",,,No,No,,,,3.6,,Good
Graze,,Cedar Rapids/Iowa City,"115 East College St, Iowa City, IA 52240",Iowa City,,,,"American, International, Sushi",,,No,No,,,,3.8,,Good
A & A Pagliai's Pizza,,Cedar Rapids/Iowa City,"302 E Bloomington St, Iowa City, IA 52245",Iowa City,,,,Pizza,,,No,No,,,,4.3,,Very Good
Atlas World Grill,,Cedar Rapids/Iowa City,"127 Iowa Ave, Iowa City, IA 52240",Iowa City,,,,International,,,No,No,,,,4.3,,Very Good
BlackStone,,Cedar Rapids/Iowa City,"503 Westbury Dr Ste 1, Iowa City, IA 52245",Iowa City,,,,"American, Breakfast",,,No,No,,,,4.1,,Very Good
Devotay,,Cedar Rapids/Iowa City,"117 N Linn St, Iowa City, IA 52245",Iowa City,,,,"Mediterranean, Tapas, Vegetarian",,,No,No,,,,4,,Very Good
Jimmy Jack's Rib Shack,,Cedar Rapids/Iowa City,"1940 Lower Muscatine Rd, Iowa City, IA 52240",Iowa City,,,,BBQ,,,No,No,,,,4.2,,Very Good
Zoeys Pizzeria,,Cedar Rapids/Iowa City,"690 10th St, Marion, IA 52302",Marion,,,,"Pizza, Sandwich",,,No,No,,,,4.7,,Excellent
Tokyo Sushi,,Chatham-Kent,"150 Richmond St, Chatham-Kent, ON N7M2V2",Chatham-Kent,,,,"Japanese, Sushi",,,No,No,,,,3.7,,Good
Berry Patch Restaurant,,Clatskanie,"49289 Us-30, Westport, OR 97016",Clatskanie,,,,"American, Breakfast, Desserts",,,No,No,,,,4.3,,Very Good
Sakura Sushi & Grill,,Cochrane,"130 Quarry Street, Unit 20, Cochrane, AB T4C 0W5",Cochrane,,,,"Asian, Japanese",,,No,No,,,,3.1,,Average
Uptown Vietnam cuisine,,Columbus,"1250 Broadway, Columbus, GA 31901",Columbus,,,,"Asian, Vietnamese",,,No,No,,,,3.3,,Average
Cafe Le Rue @ The Landings,,Columbus,"2523 Airport Thruway, Columbus, GA 31904",Columbus,,,,"American, Seafood, Cajun",,,No,No,,,,4.6,,Excellent
Mark's City Grille,,Columbus,"7160 moon road, Columbus, GA 31909",Columbus,,,,American,,,No,No,,,,4.5,,Excellent
B Merrell's,,Columbus,"7600 Veterans Pkwy, Columbus, GA 31909",Columbus,,,,"Burger, Bar Food, Southern",,,No,No,,,,3.8,,Good
Cannon Brewpub,,Columbus,"1041 Broadway, Columbus, GA 31901",Columbus,,,,"Pizza, Bar Food",,,No,No,,,,3.9,,Good
Fuji Japanese Steak House,,Columbus,"6499 Veterans Pkwy, Columbus, GA 31909",Columbus,,,,"Japanese, Steak",,,No,No,,,,3.9,,Good
Ruth Ann's Family Restaurant,,Columbus,"941 Veterans Parkway, Columbus, GA 31901",Columbus,,,,"Breakfast, Diner, Southern",,,No,No,,,,3.7,,Good
Samurai Japanese Cuisine & Sushi Bar,,Columbus,"1009 Broadway, Columbus, GA 31901",Columbus,,,,"Japanese, Steak, Sushi",,,No,No,,,,3.6,,Good
Wasabi Sushi and Thai,,Columbus,"1639 Bradley Park Dr, Columbus, GA 31904",Columbus,,,,"Japanese, Sushi, Thai",,,No,No,,,,3.7,,Good
Buckhead Bar and Grill,,Columbus,"5010 Armour Rd, Columbus, GA 31904",Columbus,,,,"Seafood, Steak, Vegetarian",,,No,No,,,,4.2,,Very Good
Burt's Butcher Shoppe and Eatery,,Columbus,"2932 Warm Springs Rd, Columbus, GA 31909",Columbus,,,,Steak,,,No,No,,,,4.3,,Very Good
Chef Lee's Peking Restaurant,,Columbus,"6100 Bradley Park Dr, Columbus, GA 31904",Columbus,,,,Chinese,,,No,No,,,,4,,Very Good
Country's Barbecue,,Columbus,"3137 Mercury Dr, Columbus, GA 31906",Columbus,,,,"BBQ, Southern",,,No,No,,,,4,,Very Good
Deorio's,,Columbus,"3201 Macon Rd Ste 167, Columbus, GA 31906",Columbus,,,,"Italian, Pizza",,,No,No,,,,4,,Very Good
Mellow Mushroom,,Columbus,"6100 Veterans Pkwy, Columbus, GA 31909",Columbus,,,,Pizza,,,No,No,,,,4.1,,Very Good
Meritage,,Columbus,"1039 1st Ave, Columbus, GA 31901",Columbus,,,,"American, Tapas",,,No,No,,,,4.1,,Very Good
Mongo The Mongolian Fire Pit,,Columbus,"7830 - E Veterans Pkwy, Columbus, GA 31909",Columbus,,,,"Asian, Chinese",,,No,No,,,,4.2,,Very Good
The Black Cow,,Columbus,"115 A 12th St, Columbus, GA 31901",Columbus,,,,American,,,No,No,,,,4.3,,Very Good
Wood Stone,,Columbus,"5739 Whitesville Rd, Columbus, GA 31904",Columbus,,,,"Italian, Mediterranean, Pizza",,,No,No,,,,4,,Very Good
Hunter's Pub,,Columbus,"11269 GA Hwy 219, Hamilton, GA 31811",Hamilton,,,,"American, Seafood, Steak",,,No,No,,,,4.4,,Very Good
Consort Restaurant,,Consort,"4931 50th Street, Consort, AB T0C 1B0",Consort,,,,"Chinese, Canadian",,,No,No,,,,3,,Average
Thatcher's Barbeque and Grill,,Dalton,"1214 N Wall St, Calhoun, GA 30701",Calhoun,,,,"American, BBQ, Southern",,,No,No,,,,3.7,,Good
Christian and Jake's Bistro,,Dalton,"555 Georgia Hwy 53, Calhoun, GA 30701",Calhoun,,,,"Desserts, Sandwich",,,No,No,,,,4.4,,Very Good
Dub's High on the Hog,,Dalton,"349 S Wall St, Calhoun, GA 30701",Calhoun,,,,BBQ,,,No,No,,,,4.4,,Very Good
Sierra's Mexican Restaurant,,Dalton,"500 S. 3rd Avenue, Chatsworth, GA 30705",Chatsworth,,,,"Mexican, Tex-Mex",,,No,No,,,,3.9,,Good
Oakwood Cafe,,Dalton,"201 West Cuyler Street, Dalton, GA 30720",Dalton,,,,"BBQ, Breakfast, Southern",,,No,No,,,,4.9,,Excellent
Chili's Grill & Bar,,Dalton,"881 College Dr, Dalton, GA 30720",Dalton,,,,American,,,No,No,,,,3.8,,Good
Fuji Japanese Steakhouse,,Dalton,"1321 W Walnut Ave, Dalton, GA 30720",Dalton,,,,"Japanese, Sushi",,,No,No,,,,3.8,,Good
Las Palmas,,Dalton,"1331 W Walnut Ave, Dalton, GA 30720",Dalton,,,,Mexican,,,No,No,,,,3.8,,Good
Tony's Italian Restaurant & Pizza,,Dalton,"933 Market St, Dalton, GA 30720",Dalton,,,,Italian,,,No,No,,,,3.7,,Good
Filling Station,,Dalton,"316 N Hamilton St, Dalton, GA 30720",Dalton,,,,"American, Burger",,,No,No,,,,4.1,,Very Good
Five Guys Burgers and Fries,,Dalton,"1303 W. Walnut Ave., Dalton, GA 30720",Dalton,,,,Fast Food,,,No,No,,,,4.1,,Very Good
Los Pablos,,Dalton,"1513 W Walnut Ave Ste 6, Dalton, GA 30720",Dalton,,,,Mexican,,,No,No,,,,4.1,,Very Good
Kobe Hibachi & Sushi,,Dalton,"2603 Battlefield Pkwy, Fort Oglethorpe, GA 30742",Fort Oglethorpe,,,,"American, Japanese, Sushi",,,No,No,,,,4.6,,Excellent
Soho Hibachi,,Dalton,"1014 Battlefield Parkway, Fort Oglethorpe, GA 30742",Fort Oglethorpe,,,,Japanese,,,No,No,,,,4.3,,Very Good
Thai Garden,,Dalton,"685 Battlefield Pkwy, Fort Oglethorpe, GA 30742",Fort Oglethorpe,,,,Thai,,,No,No,,,,4.2,,Very Good
Southern Bliss Bakery,,Dalton,"300 W Patton St., Lafayette, GA 30728",LaFayette,,,,"Desserts, Sandwich",,,No,No,,,,3.7,,Good
Bailey's Bar-B-Que,,Dalton,"5540 Highway 41, Ringgold, GA 30736",Ringgold,,,,BBQ,,,No,No,,,,4.1,,Very Good
Farm To Fork,,Dalton,"118 Remco Shops Lane, Ringgold, GA 30736",Ringgold,,,,"American, Diner, Southern",,,No,No,,,,4.3,,Very Good
Home Plate Grill,,Dalton,"7807 Nashville St, Ringgold, GA 30736",Ringgold,,,,"American, BBQ, Southern",,,No,No,,,,4.2,,Very Good
Pie Slingers Pizzeria,,Dalton,"56A Fieldstone Village Drive, Rock Spring, GA 30739",Rock Spring,,,,"Italian, Pizza",,,No,No,,,,4.1,,Very Good
Olive Tree Cafe,,Davenport,"2513 53rd Avenue, Bettendorf, IA 52722",Bettendorf,,,,"Indian, Mediterranean, Middle Eastern",,,No,No,,,,4.6,,Excellent
"Red Ginger Sushi, Grill & Bar",,Davenport,"793 Middle Rd, Bettendorf, IA 52722",Bettendorf,,,,"Sushi, Teriyaki",,,No,No,,,,4.5,,Excellent
Crust Stone Oven Pizza,,Davenport,"2561 E 53rd Ave, Bettendorf, IA 52722",Bettendorf,,,,"Burger, Pizza",,,No,No,,,,3.9,,Good
Jimmy's Pancake House,,Davenport,"2521 - 18th St., Bettendorf, IA 52722",Bettendorf,,,,"American, Breakfast, Greek",,,No,No,,,,4,,Very Good
Trattoria Tiramisu,,Davenport,"1804 State St, Bettendorf, IA 52722",Bettendorf,,,,Italian,,,No,No,,,,4.1,,Very Good
Prairie Grille at SteepleGate Inn,,Davenport,"100 W 76th St, Davenport, IA 52806",Davenport,,,,"American, Breakfast",,,No,No,,,,3.4,,Average
Tantra Asian Bistro,,Davenport,"589 East 53rd St, Davenport, IA 52807",Davenport,,,,Asian,,,No,No,,,,4.9,,Excellent
Chick-fil-A,,Davenport,"320 W Kimberly Rd, Davenport, IA 52806",Davenport,,,,Fast Food,,,No,No,,,,3.9,,Good
Duck City Bistro,,Davenport,"115 E 3rd St, Davenport, IA 52801",Davenport,,,,"American, French",,,No,No,,,,3.7,,Good
Frick's Tap,,Davenport,"1402 W 3rd Street, IA 52802",Davenport,,,,"American, Bar Food, BBQ",,,No,No,,,,0,,Not rated
Los Agaves,,Davenport,"4882 Utica Ridge Rd, Davenport, IA 52807",Davenport,,,,Mexican,,,No,No,,,,0,,Not rated
Azteca,,Davenport,"4811 N Brady St Ste 3, Davenport, IA 52806",Davenport,,,,Mexican,,,No,No,,,,4.3,,Very Good
China Cafe,,Davenport,"3018 E 53rd St, Davenport, IA 52807",Davenport,,,,Chinese,,,No,No,,,,4,,Very Good
Exotic Thai Restaurant,,Davenport,"2303 E 53rd St, Davenport, IA 52807",Davenport,,,,Thai,,,No,No,,,,4.1,,Very Good
Front Street Brewery,,Davenport,"208 E River Dr, Davenport, IA 52801",Davenport,,,,American,,,No,No,,,,4.3,,Very Good
Granite City Food & Brewery,,Davenport,"5270 Utica Ridge Rd, Davenport, IA 52807",Davenport,,,,American,,,No,No,,,,4,,Very Good
Los Agaves,,Davenport,"3852 N Brady St, Davenport, IA 52806",Davenport,,,,Mexican,,,No,No,,,,4.1,,Very Good
Machine Shed Restaurant,,Davenport,"7250 Northwest Blvd, Davenport, IA 52806",Davenport,,,,American,,,No,No,,,,4.1,,Very Good
Osaka,,Davenport,"4901 Utica Ridge Rd, Davenport, IA 52807",Davenport,,,,"Japanese, Sushi",,,No,No,,,,4.2,,Very Good
Texas Roadhouse,,Davenport,"4005 E 53rd Street, Davenport, IA 52807",Davenport,,,,"American, BBQ, Steak",,,No,No,,,,4.2,,Very Good
Hickory Park,,Des Moines,"1404 S Duff Ave, Ames, IA 50010",Ames,,,,"BBQ, Burger, Desserts",,,No,No,,,,4.5,,Excellent
The Cafe,,Des Moines,"2616 Northridge Pkwy, Ames, IA 50010",Ames,,,,"American, Coffee and Tea",,,No,No,,,,4.9,,Excellent
Flying Mango,,Des Moines,"4345 Hickman Rd, Des Moines, IA 50310",Beaverdale,,,,"BBQ, Caribbean, Cajun",,,No,No,,,,4.5,,Excellent
Cool Basil,,Des Moines,"8801 University Ave, Clive, IA 50325",Clive,,,,"Asian, Sushi, Thai",,,No,No,,,,4.1,,Very Good
HuHot Mongolian Grill,,Des Moines,"4100 University Avenue, West Des Moines, IA 50266",Clive,,,,"Asian, Chinese",,,No,No,,,,4,,Very Good
Malo,,Des Moines,"900 Mulberry Street, Des Moines, IA 50309",Downtown,,,,"Latin American, Mexican",,,No,No,,,,3.2,,Average
Centro,,Des Moines,"1007 Locust St, Des Moines, IA 50309",Downtown,,,,"Italian, Pizza",,,No,No,,,,4.5,,Excellent
Fong's Pizza,,Des Moines,"223 4th Street, Des Moines, IA 50309",Downtown,,,,"Chinese, Pizza",,,No,No,,,,4.6,,Excellent
A Dong Restaurant,,Des Moines,"1511 High Street, Des Moines, IA 50309",Downtown,,,,"Asian, Vegetarian, Vietnamese, Bubble Tea",,,No,No,,,,4.4,,Very Good
Court Avenue Brewing Company,,Des Moines,"309 Court Ave, Des Moines, IA 50309",Downtown,,,,"American, Pizza, Bar Food",,,No,No,,,,4.2,,Very Good
Django,,Des Moines,"210 10th Street, Des Moines, IA 50309",Downtown,,,,French,,,No,No,,,,4.3,,Very Good
Miyabi 9,,Des Moines,"512 E Grand Ave, Des Moines, IA 50309",East Village,,,,"Japanese, Sushi",,,No,No,,,,4.8,,Excellent
Zombie Burger + Drink Lab,,Des Moines,"300 E. Grand Ave., Des Moines, IA 50309",East Village,,,,"Burger, Desserts, Vegetarian",,,No,No,,,,4.2,,Very Good
Tursi's Latin King,,Des Moines,"2200 Hubbell Ave, Des Moines, IA 50317",Fairground,,,,"American, Italian",,,No,No,,,,4.1,,Very Good
Tsing Tsao South,,Des Moines,"4230 Fleur Dr, Des Moines, IA 50321",Greater South Side,,,,Chinese,,,No,No,,,,4.1,,Very Good
Bandit Burrito,,Des Moines,"5340 Merle Hay Road, Johnston, IA 50131",Johnston,,,,"Breakfast, Mexican, Southwestern",,,No,No,,,,4,,Very Good
Jethro's BBQ,,Des Moines,"3100 Forest Ave, Des Moines, IA 50311",Kingman Place Historic District,,,,"American, BBQ",,,No,No,,,,4.3,,Very Good
The Machine Shed Restaurant,,Des Moines,"11151 Hickman Road, Urbandale, IA 50322",Urbandale,,,,"American, Breakfast",,,No,No,,,,3.8,,Good
Mi Patria,,Des Moines,"1410 22nd St., West Des Moines, IA 50266",West Des Moines,,,,Latin American,,,No,No,,,,4,,Very Good
Waterfront Seafood Market,,Des Moines,"2900 University Ave, West Des Moines, IA 50266",West Des Moines,,,,"Seafood, Sushi",,,No,No,,,,4.2,,Very Good
The Giggling Goat,,Dicky Beach,"14 Beerburrum St, Dicky Beach, QLD",Dicky Beach,,,,"Coffee and Tea, Tea, Modern Australian",,,No,No,,,,3.6,,Good
Burnt Toast Cafe,,Dubuque,"1220 Iowa St, Dubuque, IA 52001",Dubuque,,,,Breakfast,,,No,No,,,,3.4,,Average
Catfish Charlie's,,Dubuque,"1630 E 16th St, Dubuque, IA 52001",Dubuque,,,,Seafood,,,No,No,,,,3.3,,Average
Salsa's Mexican Restaurant,,Dubuque,"1091 Main St, Dubuque, IA 52001",Dubuque,,,,Mexican,,,No,No,,,,3.4,,Average
Tony Roma's,,Dubuque,"350 Bell St, Dubuque, IA 52001",Dubuque,,,,"American, BBQ, Seafood",,,No,No,,,,3.3,,Average
Vinny Vanucchi's,,Dubuque,"180 Main Street, Dubuque, IA 52001",Dubuque,,,,Italian,,,No,No,,,,3.4,,Average
Champps Americana,,Dubuque,"3100 Dodge St., Dubuque, IA 52003",Dubuque,,,,"American, Burger, Sandwich",,,No,No,,,,3.5,,Good
Fiesta Cancun,,Dubuque,"2515 NW Arterial, Dubuque, IA 52002",Dubuque,,,,Mexican,,,No,No,,,,3.6,,Good
Happy Joe's Pizza & Ice Cream,,Dubuque,"855 Century Dr, Dubuque, IA 52002",Dubuque,,,,"Desserts, Pizza, Ice Cream",,,No,No,,,,3.5,,Good
Houlihan's,,Dubuque,"1795 Greyhound Park Rd, Dubuque, IA 52001",Dubuque,,,,"American, Burger",,,No,No,,,,3.6,,Good
Ichiban Hibachi Steakhouse & Sushi Bar,,Dubuque,"3187 University Ave, Dubuque, IA 52001",Dubuque,,,,"Japanese, Steak, Sushi",,,No,No,,,,3.7,,Good
Kalmes Breaktime Bar & Grill,,Dubuque,"1097 Jackson St, Dubuque, IA 52001",Dubuque,,,,"American, Burger",,,No,No,,,,3.6,,Good
L. May Eatery,,Dubuque,"1072 Main St, Dubuque, IA 52001",Dubuque,,,,"International, Pizza",,,No,No,,,,3.8,,Good
Los Aztecas,,Dubuque,"2700 Dodge St, Dubuque, IA 52003",Dubuque,,,,Mexican,,,No,No,,,,3.5,,Good
Manna Java World Cafe,,Dubuque,"700 Locust St, Dubuque, IA 52001",Dubuque,,,,"Breakfast, Pizza",,,No,No,,,,3.5,,Good
Mario's Italian Restaurant,,Dubuque,"1298 Main St, Dubuque, IA 52001",Dubuque,,,,"American, Italian",,,No,No,,,,3.6,,Good
Pepper Sprout Incorporated,,Dubuque,"378 Main St, Dubuque, IA 52001",Dubuque,,,,American,,,No,No,,,,3.6,,Good
Shot Tower Inn,,Dubuque,"290 Locust St, Dubuque, IA 52001",Dubuque,,,,"Italian, Pizza",,,No,No,,,,3.6,,Good
Sunshine Family Restaurant,,Dubuque,"401 Central Ave, Dubuque, IA 52001",Dubuque,,,,"American, Breakfast, Burger",,,No,No,,,,3.5,,Good
Watershed Cafe,,Dubuque,"51 W 32nd Street, Dubuque, IA 52001",Dubuque,,,,"American, Burger, Pizza, Cafe",,,No,No,,,,3.7,,Good
Woodfire Grille,,Dubuque,"301 Bell Street, Dubuque, IA 52001",Dubuque,,,,"American, Seafood, Steak",,,No,No,,,,3.6,,Good
The Belle General,,East Ballina,"12 Shelly Beach Rd, East Ballina, NSW",East Ballina,,,,Cafe,,,No,No,,,,4.1,,Very Good
Jehova es Mi Pastor Tacos y Burritos,,Fernley,"135 W. Main Street, Fernley, NV 89408",Fernley,,,,Mexican,,,No,No,,,,3.7,,Good
Flaxton Gardens,,Flaxton,"313 Flaxton Drive, Flaxton, QLD",Flaxton,,,,"Tea, Modern Australian",,,No,No,,,,3.5,,Good
Bespoke Harvest,,Forrest,"16 Grant St, Forrest, VIC",Forrest,,,,"Cafe, Australian",,,No,No,,,,3.7,,Good
Houndstooth Grill & Tavern,,Gainesville,"6323 Grand Hickory Dr Ste 200A, Braselton, GA 30517",Braselton,,,,"American, Sandwich, Seafood",,,No,No,,,,4.4,,Very Good
Hawg Wild BBQ & Catfish House,,Gainesville,"515 Grant Street, Clarkesville, GA 30523",Clarkesville,,,,"BBQ, Burger, Seafood",,,No,No,,,,4.1,,Very Good
Bourbon Street Grille,,Gainesville,"90 Public Sq N, Dahlonega, GA 30533",Dahlonega,,,,"American, Burger, Cajun",,,No,No,,,,3.8,,Good
Corkscrew Cafe,,Gainesville,"51 W Main St, Dahlonega, GA 30533",Dahlonega,,,,,,,No,No,,,,3.9,,Good
Smokin Gold BBQ,,Gainesville,"59 E Main St, Dahlonega, GA 30533",Dahlonega,,,,BBQ,,,No,No,,,,3.9,,Good
Hoka-Hoka Japanese Steak & Sushi,,Gainesville,"617 North Grove Street, Dahlonega, GA 30533",Dahlonega,,,,"Chinese, Japanese, Thai",,,No,No,,,,4.4,,Very Good
Shenanigan's Irish Pub,,Gainesville,"87 N. Chestatee St., Dahlonega, GA 30533",Dahlonega,,,,"Bar Food, Seafood, Vegetarian",,,No,No,,,,4.1,,Very Good
Fish Tales Lakeside Grille,,Gainesville,"6330 Mitchell Street, Flowery Branch, GA 30542",Flowery Branch,,,,Seafood,,,No,No,,,,3.8,,Good
Antebellum,,Gainesville,"5510 Church Street, Flowery Branch, GA 30542",Flowery Branch,,,,"American, Southern",,,No,No,,,,4.3,,Very Good
Moonie's Texas Barbecue,,Gainesville,"5545 Atlanta Highway, Flowery Branch, GA 30542",Flowery Branch,,,,"BBQ, Sandwich",,,No,No,,,,4.1,,Very Good
Atlanta Highway Seafood Market,,Gainesville,"227 Atlanta Highway Suite 900, Gainesville, GA 30501",Gainesville,,,,"Sandwich, Seafood, Cajun",,,No,No,,,,4.9,,Excellent
Eat at Thai,,Gainesville,"975 Dawsonville Hwy, Gainesville, GA 30501",Gainesville,,,,Thai,,,No,No,,,,4.6,,Excellent
Smoke House BBQ and Catering,,Gainesville,"3205 Atlanta Hwy, Atlanta Highway, Gainesville, GA, Gainesville, GA 30507",Gainesville,,,,BBQ,,,No,No,,,,3.8,,Good
2 Dog,,Gainesville,"317 Spring St SE, Gainesville, GA 30501",Gainesville,,,,"American, European, Sandwich",,,No,No,,,,4.2,,Very Good
Longstreet Cafe,,Gainesville,"1043 Riverside Terrace, Gainesville, GA 30501",Gainesville,,,,Southern,,,No,No,,,,4.3,,Very Good
Re-Cess,,Gainesville,"118 Bradford St NE, Gainesville, GA 30501",Gainesville,,,,"American, Southern",,,No,No,,,,4.2,,Very Good
Bodensee,,Gainesville,"64 Munich Strasse, Helen, GA 30545",Helen,,,,German,,,No,No,,,,3.8,,Good
Hofer's Bakery & Cafe,,Gainesville,"8758 N Main St, Helen, GA 30545",Helen,,,,"German, Ice Cream",,,No,No,,,,3.9,,Good
Troll Tavern,,Gainesville,"8590 N Main St Ste B, Helen, GA 30545",Helen,,,,"Burger, German, Sandwich",,,No,No,,,,2.2,,Poor
The Nacoochee Village Tavern & Pizzeria,,Gainesville,"7275 S Main St., Helen, GA 30545",Helen,,,,"Italian, Pizza, Sandwich",,,No,No,,,,4,,Very Good
Blue Bean Love Cafe,,Hepburn Springs,"115 Main Rd, Hepburn Springs, Hepburn Springs, VIC",Hepburn Springs,,,,"Cafe, Coffee and Tea, Modern Australian",,,No,No,,,,3.8,,Good
La Trattoria of Lavandula,,Hepburn Springs,"350 Hepburn-Newstead Road, Hepburn Springs, VIC",Hepburn Springs,,,,"Italian, Fusion, Cafe",,,No,No,,,,3.8,,Good
5 Little Pigs,,Huskisson,"64 Owen St, Huskisson, NSW",Huskisson,,,,"Breakfast, Modern Australian",,,No,No,,,,4.1,,Very Good
Beach Box Cafe,,Inverloch,"6a Ramsay Blvd, Inverloch, VIC",Inverloch,,,,"Burger, Coffee and Tea, Modern Australian",,,No,No,,,,3.7,,Good
Funkey Monkey,,Lakes Entrance,"26 Myer street, Lakes Entrance, VIC",Lakes Entrance,,,,"Breakfast, Coffee and Tea",,,No,No,,,,3.8,,Good
Burger Queen Drive In,,Lakeview,"109 S F St, Lakeview, OR 97630",Lakeview,,,,"Burger, Desserts, Sandwich",,,No,No,,,,3.6,,Good
Blue Orchid Thai Restaurant,,Lincoln,"129 N 10th St, Lincoln, NE 68508",Haymarket,,,,Thai,,,No,No,,,,4.5,,Excellent
Stillwater on Belmore,,Lorn,"27 Belmore Rd,, Lorn, NSW",Lorn,,,,"Breakfast, Coffee and Tea",,,No,No,,,,3.6,,Good
Mr.,,Macedon,"23 Victoria St, Macedon, VIC",Macedon,,,,Cafe,,,No,No,,,,3.5,,Good
Emilio's Cuban Cafe,,Macon,"402 Ga. Highway 247, Bonaire, GA 31005",Bonaire,,,,"Coffee and Tea, Cuban, Latin American",,,No,No,,,,3.9,,Good
Ingleside Village Pizza,,Macon,"2395 Ingleside Ave, Macon, GA 31204",Macon,,,,"Pizza, Sandwich",,,No,No,,,,4.9,,Excellent
Jim Shaw's Seafood Grill & Bar,,Macon,"3040 Vineville Ave, Macon, GA 31204",Macon,,,,Seafood,,,No,No,,,,4.6,,Excellent
Mandarin Chinese Restaurant,,Macon,"3086 Riverside Dr, Macon, GA 31210",Macon,,,,"Chinese, Thai",,,No,No,,,,4.5,,Excellent
Rookery,,Macon,"543 Cherry St, Macon, GA 31201",Macon,,,,"Burger, Desserts, Bar Food",,,No,No,,,,4.5,,Excellent
Dovetail,,Macon,"543 Cherry St, Macon, GA 31201",Macon,,,,,,,No,No,,,,3.8,,Good
Bonefish Grill,,Macon,"5080 Riverside Dr, Macon, GA 31210",Macon,,,,"American, Seafood",,,No,No,,,,4.1,,Very Good
Downtown Grill,,Macon,"562 Mulberry St, Macon, GA 31201",Macon,,,,Steak,,,No,No,,,,4,,Very Good
